npi,name,n_lines,mean_medicare_mult,median_medicare_mult,win_rate
1528583366,"YU, SAMMY",1,3362.99,3362.99,100.0
1023696754,TEXAS NEUROLOGICAL PLLC,1,3234.18,3234.18,100.0
1538829452,"Neuro Safety, PLLC",6,2887.93,3.9,100.0
1477960128,"CUSHING NEUROMONITORING, PLLC",5,2683.63,3.9,80.0
1124074273,NORTHEAST METHODIST HOSPITAL,1,2481.63,2481.63,100.0
1659525236,METHODIST STONE OAK HOSPITAL,1,2481.63,2481.63,100.0
1205422797,"DRF MONITORING, PLLC",2,1956.5,3.25,100.0
1437363538,Dr. ELI NEIMAN,1,1830.57,1830.57,100.0
1487298337,"NAP DIAGNOSTICS, PLLC",10,1734.49,4.14,90.0
1760858658,"NARANG, ASHISH",5,1552.96,13.1,100.0
1508023789,SOUTH SOUND INPATIENT PHYSICIANS PLLC,1,1435.87,1435.87,100.0
1023285756,SOUTH SOUND INPATIENT PHYSICIANS PLLC,1,1226.61,1226.61,100.0
1801487236,"GUARDIAN NEUROLOGY, PLLC",17,1207.63,3.8,94.1
1568180024,Spine and Brain Institute of WI,5,981.67,1540.21,100.0
1316617707,NEW BRAUNFELS ER & HOSPITAL,9,824.03,15.42,88.9
1316607278,"FAIRVIEW MONITORING SERVICES, PLLC",5,784.59,3.25,100.0
1619712395,"CRAIGMILES, LAURA",1,696.9,696.9,100.0
1295443000,"Broad River Physicians Group, LLC",1,626.36,626.36,100.0
1437629342,WALKER LAKE EMERGENCY GROUP PC,2,525.0,524.69,100.0
1770111452,Sadia Najamuddin,34,516.03,702.02,85.3
1750862694,RIDGEWOOD EMERGENCY GROUP LLC,1,485.19,485.19,100.0
1497852107,PEDIATRIX MEDICAL GROUP OF TENNESSEE PC,1,415.98,415.98,100.0
1013616895,"VILLA PARK NEUROLOGICAL SERVICES, PLLC",38,359.36,3.7,86.8
1124253075,Remote Neuromonitoring Physicians PC,9,293.65,320.37,77.8
1649614777,"Titan Neurophysiology, PA",12,268.87,5.37,66.7
1194789818,Baptist Memorial Hospital Desoto,10,258.58,45.4,100.0
1548847601,USA EMERGENCY CENTERS-SPRING LLC,21,256.44,3.79,85.7
1013068279,DR SEAN McCANCE MD,2,200.12,198.49,100.0
1255962783,"Empire State Radiology, P.C.",2,173.82,173.82,100.0
1740652197,NPPA Services,324,162.32,4.14,84.3
1972551893,American Intraoperative Monitoring,186,162.14,3.94,88.7
1083141691,"One Care Monitoring, LLC",121,154.69,3.82,79.3
1982189643,"SURGICAL SUPPORT ALLIANCE, PLLC",4,143.43,4.03,100.0
1538107875,"Singleton Associates, P.A.",28,137.5,223.46,92.9
1487117123,Jessica Kathryn Wise MD,1,126.57,126.57,0.0
1578527172,Baptist Memorial Hospital Memphis,85,118.31,10.06,87.1
1427055821,NGMC,1,110.47,110.47,100.0
1538921184,CARRUS LAKESIDE HOSPITAL,1,109.59,109.59,100.0
1922467315,KYLE ER LLC,24,94.6,6.27,54.2
1093322257,HOSPITALIST MEDICINE PHYSICIANS OF MD FREDERICK PC,25,94.32,8.73,96.0
1033745708,"Sonoran Radiology, LTD",6,94.08,99.49,83.3
